year,annual_mean_temp_c,warm_season_temp_c,cold_season_precip_mm,mass_balance
1968,0.8650157,7.366417,681.1003684997559,-0.1901325
1969,0.20975494,7.293495,636.6536617279053,-1.5330049
1970,0.16075642,6.9875565,889.0728950500488,-0.8201689
1971,1.0711313,8.880753,487.4558448791504,-1.1854144
1972,0.6651204,7.139221,448.5201835632324,-0.7177019
1973,0.4815394,8.820206,599.0505218505859,-1.5520607
1974,0.72804517,7.8028183,644.8185443878174,-0.3864479
1975,0.60143787,7.2386856,795.1335906982422,-0.3708857
1976,0.58151245,8.522095,406.3570499420166,-1.3456577
1977,0.9858246,6.662964,934.6544742584229,0.7909662
1978,1.02211,7.0992203,925.2479076385498,0.3229205
1979,0.6967723,7.334572,655.7407379150391,-0.1141186
1980,0.23873138,7.2447815,974.6835231781006,1.9605918
1981,1.0781378,8.711327,804.5506477355957,0.3683532
1982,1.2696228,9.088913,1046.6127395629883,-0.2580785
1983,1.4580408,9.013191,928.2932281494141,0.6652951
1984,0.08529917,7.4788513,840.144157409668,0.7940218
1985,0.7936554,8.548561,581.8066596984863,1.3422308
1986,1.033259,9.381546,684.166669845581,-1.0595052
1987,1.1661276,7.715683,724.949836730957,1.032581
1988,1.8667578,9.455238,795.8841323852539,-0.5612993
1989,1.5104777,9.121025,541.5728092193604,-0.8578226
1990,1.557078,9.69017,687.7424716949463,-1.402967
1991,0.83731586,8.668922,650.7258415222168,-0.5449995
1992,1.628746,9.898361,570.6307888031006,-1.0994327
1993,1.2163519,9.33989,764.9009227752686,-0.1122273
1994,2.446317,10.414658,848.7272262573242,-0.4915149
1995,1.3676401,8.948189,989.377498626709,0.600373
1996,1.000267,8.91552,493.91889572143555,-0.0074616
1997,1.9371033,8.811501,833.4088325500488,-0.1662735
1998,1.2263209,9.886787,584.4020843505859,-1.6731536
1999,1.4875717,9.791153,876.9488334655762,-0.5690204
2000,1.8506674,9.7853775,739.4282817840576,-0.6764872
2001,1.6883062,10.064972,754.5962333679199,-0.2616462
2002,1.9734802,9.3061905,509.4609260559082,-1.8077382
2003,1.8521652,12.025551,798.713207244873,-2.6182768
2004,1.4645615,8.834839,771.3441848754883,-0.9169491
2005,1.2199656,9.530006,541.4693355560303,-2.1862798
2006,2.3061016,9.663834,426.52440071105957,-1.4281516
2007,2.34817,9.446854,583.7678909301758,-0.5980017
2008,2.0570018,10.034615,519.5214748382568,-1.0136031
2009,2.3442612,11.002319,588.2866382598877,-2.8691456
2010,0.9913762,9.542694,658.2145690917969,-0.7196052
2011,3.1171367,9.947464,513.6170387268066,-2.358427
2012,2.1740239,11.02272,761.1784934997559,-1.8241382
2013,1.325798,8.917694,817.1889781951904,-1.2383416
2014,2.2377675,7.3705063,750.8883476257324,-1.0639899
2015,2.9819489,11.429443,582.7717781066895,-2.808872
