hydrological_year,mean_predicted_mass_balance,minimum_predicted_mass_balance,maximum_predicted_mass_balance
2027,-1.3140951742539932,-1.4257339186114,-1.1296736237746106
2028,-0.851923714595153,-0.9488667831836288,-0.649522471370201
2029,-1.1530786215939701,-1.2185922884687708,-0.9800688365896605
2030,-0.9897408544021454,-1.0574467496298912,-0.8071981089906363
2031,-1.1299228896603837,-1.220764781924702,-0.9806725379203898
2032,-1.1870941169936937,-1.3158663393292853,-0.995668924734302
2033,-0.6627017731268513,-0.7732211238357403,-0.45988346924316187
2034,-0.525984001209874,-0.6239616005317185,-0.28938393443982763
2035,-0.9301317096771771,-1.06749185152339,-0.730918806352287
2036,-2.4331806497539796,-2.5335418896741158,-2.3431643240724433
2037,-1.3867589508736935,-1.4812452839522043,-1.206446299290456
2038,-1.767511700472008,-1.858000848541449,-1.6256250112504769
2039,-1.9403930500109263,-2.0049575025400403,-1.818385468027415
2040,-1.586710665569975,-1.6901972842799444,-1.4198504995741537
2041,-1.634717674200213,-1.730425941154731,-1.4711873766861356
2042,-1.006552301088108,-1.0971929740348891,-0.8078801350951984
2043,-1.2630559390860538,-1.356122521070502,-1.1393207068911295
2044,-1.031222341776194,-1.1270942502005694,-0.8382172172983905
2045,-1.5361358344552511,-1.6089241056029617,-1.3699610564566251
2046,-2.2451655993283137,-2.2924229435841075,-2.129924191098217
2047,-1.5460608194952867,-1.6552700172680468,-1.3843786182545155
2048,-2.179571827206062,-2.3034661983138887,-2.024080290451139
2049,-1.65685341316716,-1.7289599834282616,-1.4710760738250168
2050,-1.2038583952672262,-1.2752120948594854,-0.9795200036885356
2051,-0.8006881488781441,-0.8859275725380774,-0.5797962908113083
2052,-1.7282536248845077,-1.809971013379742,-1.5669656403439918
2053,-1.2531733952475403,-1.4355905538023956,-1.0091582808434223
2054,-0.8613540003919082,-0.9319791221953568,-0.6651681396113146
2055,-1.9568217667857544,-2.044806040588718,-1.7817952836769861
2056,-2.5003221319668767,-2.6039809177727684,-2.3637597800117187
2057,-1.675846200722888,-1.8109659107818015,-1.5074993395214635
2058,-1.3448202294200153,-1.448589512933598,-1.1630537716106755
2059,-1.1671344170465379,-1.2170902868347864,-0.9959823607875793
2060,-1.9480427765097086,-2.0036575880269165,-1.8109251157288457
2061,-1.1866291455390314,-1.306152021062914,-0.9671295888491698
2062,-2.0424696445983277,-2.092795401478326,-1.9180547079046757
2063,-1.3523660385987901,-1.452190702784606,-1.135237080937622
2064,-2.0956329399872704,-2.149481455262257,-1.9643047953619817
2065,-0.27301048915534976,-0.4052782588265742,0.03237999272305525
2066,-1.7966908675775697,-1.875390531829106,-1.6288684585488724
2067,-1.6050086152917238,-1.6837466427419536,-1.455701251497516
2068,-2.1971837550355655,-2.238132745558504,-2.0728143768787444
2069,-1.1819994164675767,-1.3546942141920284,-0.8921605491685592
2070,-1.8634628578266024,-1.962189062786899,-1.685801496918408
2071,-1.6692595225692761,-1.7732302854587148,-1.474115287150195
2072,-1.6363742722670627,-1.70508924537246,-1.4581932870094536
2073,-2.1864594832549686,-2.320107589948157,-2.0258160100814253
2074,-1.7297136398439674,-1.7974033943405183,-1.5646136201225174
2075,-1.7317861778390102,-1.8231466844555997,-1.5710223051161454
2076,-1.2025187426716524,-1.332110214984791,-0.9229828976327049
